item_id,hours,minutes
12170,249,50
12180,142,0
12190,0,0
12200,23599,55
12210,216981,16
12220,68797,58
12230,358,30
12240,842,25
12250,7097,33
12260,1,55
1230,290,1
12300,0,0
12310,3,27
12320,1241,16
12330,473,45
12340,129,10
12360,2697,2
12370,706,29
12380,52,6
12390,15,17
12400,0,0
12420,27,37
12430,56,44
12440,31,4
12450,32,22
12460,148,50
12470,621,45
12480,1219,1
1250,499876,22
12500,2138,16
12510,617,49
12520,412,17
12530,64,24
12540,8,28
12550,3,31
12560,17,33
12570,0,48
12580,42,39
12590,124,32
12600,8,53
12630,17,16
12640,185,38
12650,0,0
12660,0,30
12670,0,1
12690,90,31
12710,5085,28
12750,12547,29
12770,252,3
12790,260,25
1280,4361,6
12800,2250,35
12810,9727,36
12830,3316,43
12840,7689,36
12860,924,8
12900,29006,45
130,7357,48
1300,177,12
13000,37,16
1309,1,21
1313,33,39
13140,11458,22
1320,0,0
13200,412,37
13210,11045,14
13230,5818,39
13240,3429,19
13250,403,5
13500,667,20
13510,535,15
13520,5451,33
13530,507,57
13540,375,39
13560,1326,28
13570,2226,34
13580,1001,2
13600,1046,53
13620,90,8
13630,84,15
13640,277,1
13700,89,42
1500,1030,55
15000,83,27
15060,48,54
15080,62,8
1510,3005,32
15100,14789,32
15120,6334,15
15130,836,2
15140,4,14
15150,33,9
15160,1016,41
15170,6044,5
15190,937,27
1520,3690,38
15200,652,44
15210,1341,4
15220,37,47
15230,108,33
15240,239,25
15270,30,42
15280,3,29
15290,5,40
1530,806,40
15300,687,18
15310,392,12
15320,3385,32
15330,0,0
15350,0,0
15370,2369,0
15380,343,31
15390,1222,5
15400,206,39
15500,568,35
15520,1772,8
15540,596,14
15560,520,3
15620,101342,49
15700,4482,15
15710,2567,38
15740,1053,35
15750,1750,10
15800,0,0
15900,6,29
15910,13,13
15920,92,54
15930,64,52
15940,0,27
15950,50,50
15960,83,24
15970,69,57
15980,8,36
15990,80,23
1600,118,55
16000,22,51
16020,0,3
16030,38,59
16040,49,29
16060,0,27
16090,0,1
1610,425,45
16100,59,32
16110,229,37
16120,652,22
16130,409,52
16180,182,43
16200,68,24
1630,351,51
16300,53,52
1640,456,37
16450,8800,54
16480,0,0
16500,0,22
16600,1607,55
16620,126,24
1670,70,59
16700,489,38
16710,55,50
16720,416,19
16730,795,23
16810,2040,22
1690,1638,33
1700,320,54
17020,26826,26
17080,50806,54
17100,908,25
17120,324,7
17140,268,52
17180,15,12
17300,15577,13
17330,3061,19
17340,773,45
17390,57495,10
17400,43,15
17410,48072,5
17420,0,0
17430,8685,6
17440,4638,45
17450,43055,32
17460,48380,19
17470,15740,23
17480,26066,22
17570,10318,50
17580,1123,8
17600,18,46
17710,6159,33
17800,71,13
17810,82,33
18000,1201,13
18020,818,55
18040,986,51
18050,545,36
18070,474,1
18100,11,21
18110,1045,15
18120,98,2
18300,386,2
18400,638,51
18420,135,7
18430,0,0
18450,29,21
18460,28,1
18470,37,7
18480,11,17
18490,53,32
18500,20705,13
18600,358,5
18700,596,30
18820,754,0
1900,1188,30
19000,402,33
19020,31,25
19030,41,7
19080,1,46
19090,100,32
1920,24,5
19200,145,40
1930,2714,26
19320,7,36
19500,25,52
19680,6089,31
19800,550,17
19810,0,17
19830,866,28
19840,1,21
19900,19912,28
19930,975,35
19980,686,48
19990,3,50
20,16028,22
200010,4965,10
200020,2,48
200050,229,1
200060,105,38
200080,136,18
200130,333,10
200150,49,38
200170,21540,31
200190,53,2
200210,336353,27
200230,477,36
200260,87844,41
200330,2,52
200350,57,53
200370,1928,31
200390,529,2
200410,81,15
200490,6,34
200510,250459,15
200530,450,24
200550,280,58
200630,76,26
200670,331,58
200710,151588,59
200900,6139,41
200910,1293,39
200940,974,26
200960,283,6
200980,56,33
200990,17,29
201000,81,10
201010,192,19
201020,5253,18
201040,199,5
201070,63,37
201190,726,54
201210,2135,12
201230,11385,17
201280,2542,33
201290,4850,15
201310,9661,27
201330,0,19
201420,1014,7
201480,244,44
201490,323,17
201510,219,27
201570,2457,26
201700,4053,43
201760,3778,13
201790,71557,29
201810,41615,2
201830,1467,3
201870,23962,24
20200,11,32
202070,148,18
202090,17801,18
202130,1340,12
202170,79438,39
202200,5139,30
202270,781,46
202310,876,10
202370,6,56
202410,82,11
202530,1835,33
202570,0,0
202670,31,8
202690,321,37
202710,2706,3
202730,157,54
202750,2881,50
202860,100,8
202970,47108,34
202990,644027,36
203140,94261,45
203160,90468,8
203210,831,28
203250,1061,37
203290,32979,53
203350,1936,55
203510,758,33
203560,107,34
203630,9079,38
203650,807,32
203680,297,32
203730,1691,56
203750,2089,50
203770,164624,11
203810,1366,9
203830,500,59
203850,1640,18
203990,180,35
20400,0,0
204030,15557,58
204060,1081,12
204080,5907,9
204100,34989,51
204120,1362,19
204140,613,7
204180,1172,2
204220,262,24
204240,1469,16
204300,163326,7
204340,3151,19
204360,115872,18
204390,64,49
204440,143,21
204450,12458,32
204510,2,2
204530,2398,8
204560,252,39
204580,3,1
204630,3141,28
204760,1,25
204840,87,42
204860,405,11
204880,55994,19
204940,78,51
204960,94,53
20500,20511,52
205020,107,0
205060,212,4
205070,210,38
205080,226,17
205090,161,29
20510,8590,43
205100,125205,41
205180,0,1
205190,3448,45
205230,1717,42
205250,61,0
205270,105,28
20530,1949,5
205330,105,30
205350,1856,40
20540,24727,10
20550,660,14
205530,202,5
205550,488,33
205590,536,19
205610,2376,49
205650,1208,50
205690,168,32
20570,55295,49
205710,1130,33
205730,800,44
205790,9098,12
205810,469,47
205830,61,36
205840,133,55
205870,171,42
205890,2391,59
205910,2643,32
205930,3469,18
205950,2397,34
205990,1098,50
206020,169,16
206040,80,35
206060,87,2
206180,0,0
206190,12977,50
206210,30181,5
206230,23,20
206250,222,54
206270,0,0
206370,716,43
206410,72,20
206420,210258,36
206440,4121,27
206480,15853,11
206500,53927,32
206610,1090,18
206690,703,23
206740,91,41
206760,77,23
206940,0,0
206950,0,0
206960,0,0
206970,0,0
206980,947,8
20700,167,54
207000,26,34
207020,161,9
207040,206,25
207060,909,39
207080,2359,25
20710,94,54
207140,54593,45
207150,804,40
207170,10202,43
207190,98,52
207210,3473,15
207230,14811,20
207241,0,0
207250,1451,26
207320,845,25
207350,2514,35
207370,288,43
207380,336,29
207400,529,14
207420,745,2
207430,1060,25
207490,2579,54
207530,239,52
207570,288,19
207610,80447,48
207650,2001,38
207670,19,7
207690,1312,39
207710,4,27
207730,78,10
207750,1203,12
207790,87,4
207890,45124,59
207930,666,51
208030,658,40
208090,123313,21
208110,51,46
208140,31050,47
20820,909,29
208200,8400,6
20840,4134,35
208400,1024,37
208460,20,48
208480,66356,39
208500,9988,34
208520,4146,0
208580,40664,8
208600,523,30
208610,3197,53
208620,35,13
208630,54,40
208640,60,50
208650,34948,8
208670,722,38
208710,109,14
208730,2048,42
208750,1362,30
208860,45,36
20900,41530,56
209000,65890,42
209060,725,46
209080,57095,54
209100,1511,53
209120,2660,13
209160,13238,59
209170,71913,44
209190,1866,53
20920,81676,0
209230,79,13
209270,12518,57
209330,966,52
209340,145,23
209360,86,41
209370,1135,54
209390,145,15
209520,1687,39
209540,2643,5
209610,52,31
209630,316,59
209650,12122,27
209660,63482,45
209670,5359,58
209690,361,40
209710,2043,37
209730,422,46
209750,32,47
209790,341,2
209830,766,27
209850,37,28
209870,176763,16
209950,1873,31
2100,7364,30
21000,2833,30
21010,128,37
210150,155,37
210170,238,24
210230,0,0
21030,52,18
210350,79,25
210390,17,45
210410,7,0
210430,0,0
210490,28,46
210550,554,29
21070,0,0
210770,40978,53
21080,105,39
210870,243,57
21090,5808,6
210950,194,41
210970,3026,17
210990,444,11
21100,12153,45
211010,68,17
211050,776,59
211070,0,55
21110,1001,34
211120,3368,19
211140,30,7
211160,1352,47
211180,203,47
21120,1070,17
211260,1550,20
211280,154,31
21130,3294,39
211340,886,27
211360,948,49
211380,43,57
211400,5049,5
211420,241857,6
211440,1180,35
211500,4680,32
211580,2624,2
211600,1634,34
211670,125,44
21170,5766,56
211740,925,55
211780,196,41
211800,159,59
211820,470376,27
211880,11,27
211900,250,54
211970,168,44
212010,1527,8
212030,497,55
212050,272,59
212070,25453,50
212110,282,3
212160,61805,2
212180,24369,10
212200,28239,42
212220,648,3
212240,4,29
212370,234,44
212390,3730,3
212410,318,58
212480,16364,19
212500,46572,19
212580,3204,50
212630,9746,44
212680,189007,1
212700,352,32
212780,852,42
212800,6424,53
212910,161719,20
2130,980,5
21300,11,54
213030,1432,10
213120,9585,43
213330,7057,24
213350,18,22
213570,0,27
213610,6309,51
213650,3378,0
213670,56006,21
213850,30726,37
21400,17,38
214100,276,11
214130,264,38
214150,179,3
214170,770,35
214190,4462,56
214210,0,28
214230,428,10
214250,2526,17
214270,23,9
214310,18,25
214320,60,56
214340,3541,39
214360,7850,18
214400,0,0
214420,10036,17
214490,16254,41
214510,9128,43
214550,1023,51
214560,27847,18
214570,214,46
214590,596,40
214610,648,15
214630,1790,7
214640,2964,17
214700,256,47
214730,625,10
214770,5780,5
214790,3857,40
214830,2079,43
214850,28092,39
214870,2220,39
214910,673,56
214950,295336,42
214970,1369,59
21500,3,5
215060,16,35
215080,26704,56
215100,5023,18
215120,1009,26
215160,1086,23
215280,28216,14
215374,0,1
215390,24,7
215450,48,8
215470,15145,22
215510,974,34
215530,8917,46
215550,22,18
215630,753,20
215670,556,12
215690,1099,38
215710,1088,17
215770,143,5
215790,167,39
215870,123,19
215930,417,16
21600,83,8
216090,442,45
21610,99,36
216110,209,1
216130,208,38
216150,102227,51
216210,0,33
216250,51966,50
216260,15840,54
216290,88,9
216370,11,12
216390,2227,34
21640,61,3
216570,0,0
21660,6103,7
216610,0,0
216670,283,42
21670,388,29
21680,256,33
216890,14911,18
21690,17175,32
216910,691,58
216930,18,57
217060,529,8
217080,463,17
217100,523,3
217120,0,34
217140,2320,42
217200,4846,44
217270,40,51
217290,163,2
21730,25,36
217490,1921,40
21750,5,8
21760,852,13
217690,1014,14
217750,820,36
217790,266,55
21780,410,6
217860,243,58
217920,385,19
217980,465,13
21800,728,57
218020,56,45
218040,439,58
218060,5404,16
218090,1100,46
218130,5451,34
218170,1810,30
218210,253,46
218230,690699,26
218310,1736,8
218330,2222,5
218410,2862,41
218450,669,26
218461,0,0
218470,3802,12
218510,355,38
218620,1662731,54
218640,4456,25
218660,194,35
218680,43220,57
218700,19,44
218740,1058,30
218820,3722,22
218860,0,12
218980,181,11
21900,950,6
219070,25,36
21910,2294,35
219150,44757,5
219190,559,19
21920,46,45
219200,775,31
219340,758,28
21950,16,57
219540,22926,3
219600,20783,14
219640,314616,52
219680,573,15
21970,21153,26
219700,178,37
219740,198613,47
219760,161,13
219780,4025,28
21980,1905,49
219800,335,58
219830,24457,0
219870,701,10
219890,11038,54
21990,5,45
219910,680,16
219950,83,8
219990,27385,57
220,180962,13
2200,1311,15
22000,4304,24
220050,2468,46
220090,577,7
220160,16873,58
220200,261595,6
220240,203088,16
220260,27311,33
220420,4,33
220440,13678,25
220460,1286,0
220660,4815,16
220680,0,0
220700,32456,46
220740,1388,11
220780,6388,22
220820,3550,19
220823,0,3
220824,0,2
220860,5381,34
220900,301,25
220960,44,38
220980,0,31
2210,1219,32
22100,23767,51
221020,8631,52
221040,25968,27
221080,2628,31
221100,607349,54
221180,334,40
22120,1557,12
221200,19,23
221220,3,2
221260,13815,9
22130,2590,29
221300,623,42
221340,22,30
221360,187,3
221380,210979,43
22140,328,55
221430,1221,33
221540,2383,24
221560,189,23
221640,17685,36
221680,21602,37
221790,189,12
22180,1574,52
221810,1760,29
221830,143,14
221910,22596,17
22200,2185,3
222140,744,25
222160,119,20
222180,28,41
22230,3843,6
222420,385,33
222440,584,43
222480,5350,17
222500,0,4
222520,8124,42
222640,287,31
222660,516,19
222710,1458,25
222730,9128,45
222750,19511,36
222820,149,46
222880,188697,44
222900,22396,46
222940,3198,30
222980,2850,20
22300,35832,3
223000,1484,8
22310,165,43
223100,1725,44
223140,0,0
22320,26653,18
223220,1499,5
223280,87,59
22330,86943,48
223330,33,42
223390,3263,15
22340,700,57
223410,352,23
223430,493,20
223450,43,37
223470,35534,56
223490,331,55
22350,15636,22
223510,726,14
223530,2372,37
223630,775,41
223650,1476,18
223670,8800,31
22370,96041,50
223710,18410,36
223730,358,24
223750,4432,56
22380,574555,23
223810,899,32
223830,5936,56
223850,3437,31
223870,546,18
224040,24,29
224060,10735,56
224220,1008,31
224260,132427,50
224300,232,11
224320,1564,35
224340,50,11
224360,3,14
224380,311,55
224420,4152,0
224440,932,37
224460,724,18
224480,10376,17
22450,593,50
224500,9809,39
224540,120913,41
224580,23364,45
224600,67506,4
224700,60,34
224740,719,5
224760,9403,38
224820,1717,8
224860,660,11
22490,5029,53
224900,128,43
224920,361,24
224940,205,0
224960,965,48
224980,337,45
22500,258,13
225000,372,23
225020,297,17
225080,3132,22
225140,7386,36
225160,2291,52
225180,47,33
225200,36,5
225220,1179,2
225260,15319,21
225280,1387,49
225300,778,17
225320,548,26
225360,672,1
225420,5059,35
225540,59775,40
225600,9299,40
225640,3112,45
225760,11,55
225840,10597,55
22600,14400,12
22610,730,25
226100,628,31
226120,186,19
226320,64953,2
22650,540,19
226560,347,2
226580,3022,55
226620,3052,33
22670,156,27
226700,143766,45
226720,2699,43
226740,728,30
226760,369,19
226780,56,26
226820,40,13
226840,15323,2
226860,7216,21
226960,761,2
226980,4978,22
2270,543,56
227000,396,26
227020,344,24
227060,676,27
227080,614,22
227100,12181,57
227160,1371,0
227180,5345,42
227200,638,34
227220,1139,52
227240,2951,14
227260,131,15
227280,1343,30
227300,115957,49
227320,10836,36
227380,59,42
227480,4614,5
227560,633,45
227580,2413,53
227600,356,52
227680,5695,38
227700,44680,11
227720,500,0
227760,670,11
227780,743,29
227800,249,34
227860,5657,58
227900,7,35
227920,136,9
227940,233961,51
227980,1985,54
2280,1302,33
228180,6679,24
228200,82823,59
228260,5324,9
228280,11350,47
228300,5193,50
228320,213,7
228380,6700,53
228400,2396,53
228440,1051,26
228560,771,33
228760,5128,14
228880,951,20
228940,446,8
228960,1200,23
2290,260,46
229100,67,4
229480,294,16
229520,421,39
229580,546,17
229600,20,30
229660,0,1
229810,412,50
229870,780,56
229890,179,2
229970,282,36
2300,1112,42
230050,5735,13
230070,1045,35
230150,283,50
230170,39,18
230190,3383,17
230230,32625,20
230250,0,0
230270,461,6
230290,3115,56
230310,208,0
230330,1,20
230350,14,55
230410,2067128,23
230650,482,40
230700,1972,5
230760,5,2
230780,106,9
230820,590,5
230840,157,50
230860,1147,39
230980,381,52
2310,1556,27
23100,133,21
231020,66,1
231040,877,59
231060,17635,28
231140,4598,51
231160,2643,19
231180,150,13
23120,351,53
231200,357,55
23130,0,24
231310,372,22
231330,707,50
23140,34,33
231430,191614,12
23150,12,12
231670,54816,40
231720,351,52
231740,6274,25
231910,217,1
231990,264,9
2320,1127,8
23200,139,36
232010,2915,22
232050,3240,9
232090,122163,40
232150,657,8
232210,3798,44
232430,2242,33
232450,4457,35
232670,0,0
232750,1988,44
232770,889,37
232790,3205,31
232810,12436,58
232890,2562,9
232910,9664,13
232950,735,57
232970,174,57
2330,24,12
23300,114,27
23310,9104,43
233110,199,20
233130,16981,11
233150,4391,54
233190,682,7
233210,25,15
233230,497,8
233250,46176,51
233270,21049,55
233290,3543,57
233310,53,33
233350,551,26
233370,311,1
233390,98,19
233410,25,7
233450,156644,3
233470,3268,2
233510,222,28
233530,321,41
233550,136,5
23360,106,20
233610,2182,38
233630,3303,50
233680,644,37
233700,3435,48
233720,35071,13
233740,4722,49
23380,442,30
233840,4894,25
233860,6769,4
23390,125,45
233980,5941,35
2340,19,57
23400,768,53
234000,532,28
234060,15,52
234080,2536,55
234100,11,34
234140,49735,49
234160,1150,20
234190,3459,38
23420,544,3
234290,286,32
234310,6699,21
234330,14425,40
234350,14,50
234370,21,13
234390,3635,31
23440,1,14
234490,962,46
23450,1525,25
234530,2232,0
23460,93,47
234630,15863,3
234650,13340,25
234670,22101,10
234710,30283,6
234740,264,27
234820,161,53
23490,6403,32
234900,979,13
234920,317,58
234940,606,46
234980,146,31
2350,152,1
23500,294,53
235070,128,46
23510,19,23
235210,1713,41
235250,2014,46
23530,1264,49
235320,136,29
235340,2260,38
235360,2709,18
235380,301,16
235400,481,25
235460,14864,56
235540,24808,57
235600,27508,35
235620,523,24
235660,87,45
235700,27,57
235720,61,7
235760,49,14
235800,7373,6
235820,418,53
235900,1564,7
235980,194,34
2360,86,12
23600,104,30
236010,67,17
236090,12588,45
236110,62636,28
236130,332,24
236150,2851,24
236290,70,12
236370,4547,46
236390,726095,14
236430,166907,41
236450,1853,42
236470,26,34
236490,75,24
236510,2249,29
236530,53,57
236690,6474,47
236730,767,43
236790,502,44
236830,5485,15
236850,242142,12
236870,7705,12
236890,31,0
236930,66,53
236970,56,28
2370,11,8
23700,509,1
237110,25946,11
237310,84314,4
237350,203,55
237370,647,42
237430,1141,42
237470,66,10
237530,9,31
237550,46,40
237570,877,4
237590,334,17
237630,1380,6
237740,1499,10
237760,175,56
237850,1290,2
237870,5386,26
237890,5153,29
237930,9600,28
237950,209,51
237970,12,48
237990,6228,15
238010,42080,46
238050,148,35
238070,134,54
238090,22951,11
238110,89,14
238130,5,57
238170,62,50
238210,4587,31
238240,4570,44
238260,3342,42
238280,1817,14
238320,12809,48
238370,4811,17
238430,24775,6
238460,64030,32
238530,272,10
238590,3065,14
238630,175,33
238710,340,49
238750,3309,45
238870,199,0
238890,488,44
238910,1613,10
238930,386,11
238960,386141,43
2390,134,46
239030,25433,55
239070,11470,8
239090,127,8
239120,2250,49
239140,115082,7
239160,20040,15
239200,3687,29
239220,58220,36
239250,1454,51
239350,28957,52
239410,447,14
239430,484,44
239450,2346,50
239660,33403,30
239700,888,56
239720,146,21
239800,1279,41
239820,56943,28
239840,3424,52
240,1876867,27
2400,17469,16
24010,23216,8
240160,118,34
240180,66,50
240200,101,17
240220,0,0
240320,3216,5
240340,6,24
240360,22,35
240380,1879,56
240440,130,0
240460,5171,43
240600,1089,42
240620,273,53
240660,9,54
240760,15326,29
240970,845,21
241070,510,14
24120,8,28
241240,1305,23
241260,1013,58
24130,8,40
241320,694,32
24140,55,55
241410,1856,54
24150,0,1
241540,51730,20
241560,18875,46
241600,47523,45
241620,547,12
241640,933,53
241660,259,59
241680,0,1
24170,1145,52
241720,4707,59
241760,12,37
241790,12,14
241910,1053,5
241930,104901,46
241990,556,55
2420,3234,8
242050,89679,53
24210,11,17
242110,989,20
242130,219,43
24220,4,9
242360,0,0
24240,150176,46
242460,932,7
242480,1,55
242530,264,17
242550,3323,9
242570,2208,55
242590,692,50
242630,0,0
242640,3775,55
242680,31785,34
242700,19746,28
242720,24718,4
242760,98528,32
242780,472,13
242800,577,49
242820,1598,12
242840,271,9
242860,26635,55
242880,5351,39
242920,66611,6
242940,304,50
242960,123,36
242980,91,22
2430,247,8
243000,238,25
243020,56,8
243040,433,44
243060,20,18
243120,1384,29
243140,13,27
243160,360,32
243180,30,21
243200,397,56
243220,254,28
243280,173,20
243300,5,24
243320,32,57
243360,1239,0
243380,625,33
243450,1057,39
243470,49885,33
243560,165,22
243580,91,39
243780,1138,13
243800,950,25
243870,227616,0
243890,0,13
243930,1648,36
243950,3883,21
243970,4583,56
24400,1799,33
244030,1081,12
244050,845,51
244070,1182,10
244090,873,41
24410,58,54
244160,10623,47
24420,573,45
244210,35802,53
244290,54,20
244410,800,59
244430,351,44
244450,38841,41
244590,914,52
24460,128,8
244630,1630,47
244690,298,48
24470,678,27
244710,882,41
244730,1957,34
244770,10810,54
24480,800,17
244810,373,42
244830,0,5
244850,232566,21
244870,2869,8
244890,436,48
244910,44,35
244930,10413,10
244950,32,32
2450,2899,40
24500,76,55
245010,30,44
245050,385,25
245070,0,0
245130,955,10
245150,391,1
245170,22542,7
245280,1368,12
245300,229,24
245350,0,0
245370,306,59
245390,517,37
245410,173,51
245430,106,18
245450,364,12
245470,9087,28
245490,6936,27
245550,7532,13
245620,21746,26
245730,309,59
245760,499,15
24600,70,7
246070,635,50
246090,2782,27
246110,1247,25
24620,0,25
246260,186,36
246280,7989,0
24630,230,50
246300,248,44
246360,9,46
24640,50,2
246400,235,37
246420,4883,9
24650,26,54
246580,1427,18
24660,537,10
246600,13,30
246620,23393,18
246680,106,2
24670,2208,11
246700,1249,52
246720,4,59
246740,41,40
246760,469,39
246800,91,32
246820,0,26
246840,941,49
246880,13,3
246900,10560,58
246920,87,8
246940,104,3
246960,247,17
246980,302,22
247000,7202,41
247020,5279,15
247080,13122,32
247120,73,29
247140,419,4
24720,25747,33
247240,1087,48
247310,141,6
247350,340,28
247370,368,50
24740,35718,44
247430,749,13
247580,117,14
24760,0,41
247660,1253,10
247730,25861,30
247770,69,25
24780,22634,10
247830,559,3
247870,203,5
24790,9282,26
247910,7351,10
247930,23,7
247950,480,37
24800,13634,37
24810,5929,38
248170,2334,20
248190,319,23
24820,1,56
248270,0,48
248290,167,24
24830,24,43
248310,1777,8
248330,174,22
248350,411,4
248370,140,1
248390,11077,29
24840,2731,53
248410,107,46
248450,221,30
248470,292,56
248490,1107,32
24850,73,3
248510,605,46
248530,680,7
248550,641,53
248570,43260,34
24860,17218,23
248610,5067,4
248630,908,11
248650,840,32
24870,3322,39
248710,90,55
248730,73,32
248800,266,43
248820,87557,44
248860,4351,11
248970,398,1
249050,12342,28
249130,48589,12
249190,223,10
249230,1558,0
249330,1192,15
249360,645,18
249380,1567,49
249550,242,43
249570,500,44
249590,645,33
24960,233830,56
249610,220,7
249630,1025,14
249650,2472,12
249680,418,4
24980,73207,11
249870,5008,36
249930,31,1
249950,835,47
249990,3100,48
2500,1592,32
25000,5900,47
250030,333,49
250050,221,49
250070,1,15
25010,322,48
250110,477,18
250180,3736,11
250200,2,20
250240,352,27
250260,2779,15
250280,130,42
250320,21087,36
250340,15990,44
250360,1276,6
250380,235,38
250400,15718,45
250420,4054,51
250460,1223,29
250500,1208,11
250520,1839,20
250560,1838,32
250580,2226,30
250600,256,1
250620,768,55
250640,123,12
250660,176,26
250700,598,3
250720,29,52
250740,0,21
250760,9942,3
250870,920,42
250900,430006,54
251020,0,19
251060,41033,53
251110,127,59
251130,1463,38
251150,3485,30
251170,3572,12
251210,134,26
251230,56,23
251270,244,15
251290,1649,54
251310,163,30
251370,218,31
251390,94,42
251410,169,58
251430,430,50
251470,2055,46
251490,48,32
251510,85,17
251530,440,24
251570,135084,34
251590,0,0
251610,1616,20
251630,948,0
251670,4156,0
251690,434,22
251710,250,26
251730,5411,29
251770,162,58
251790,0,9
251810,2013,59
251830,222,6
251850,483,16
251870,1736,39
251890,92,22
251910,482,31
251970,662,18
251990,3648,26
2520,22,19
252010,816,20
252030,1247,12
252050,47,15
252070,196,2
252110,458,40
252130,175,0
252150,1031,44
252170,330,30
252210,77,25
252230,39,0
252250,140,16
252270,328,27
252290,37,45
252310,362,2
252330,2284,11
252350,673,8
252370,215,11
252410,3294,28
252430,85,25
252450,2536,17
252470,1149,17
252490,1352006,56
2525,5,5
252530,6428,3
252550,204,44
252570,225,52
252610,456,31
252630,1221,48
252670,538,13
252690,145,33
252710,90,48
252730,52,57
252750,94,26
252770,135,24
252830,99,43
252850,1,47
252870,2322,32
252890,30,58
252910,65,29
252950,598102,4
252970,39,56
253030,6119,30
253110,724,35
253130,201,8
253150,129,20
253190,441,29
253230,221,17
253250,5777,56
253290,412,12
253310,1,55
253330,297,42
253350,104,55
253370,427,36
253390,48,57
253410,75,11
253430,5763,2
253470,344,50
253490,369,35
253510,647,58
253530,532,17
253570,175,18
253610,185,24
253630,498,38
253650,891,15
253670,2,21
253690,166,55
253710,23233,46
253750,416,25
253770,330,28
253790,171,45
253860,52,29
253880,77,41
253900,1694,26
253920,86,51
253940,592,41
253960,129,54
253980,2376,51
2540,106,3
254000,66,5
254020,90,6
254040,39,26
254060,154,42
254080,21,11
254100,10,10
254130,283,44
254200,2996,21
254320,293,31
254440,2649,23
254460,186,18
254480,89,54
2545,54,54
254590,100,7
254650,77,33
254700,7867,32
254820,6,18
254840,41,24
254860,0,33
254880,91,59
254920,0,46
254960,457,50
254980,126,13
2550,115,37
25500,1546,0
255010,76,50
255030,73,56
255070,1377,35
255220,10174,7
255260,1204,23
255280,368,33
255300,324,56
255320,342,2
255340,238,42
255370,684,57
255390,146,5
255420,9933,21
255480,22644,41
255500,93,22
255520,1370,1
255710,126376,54
255870,510,3
255920,52,37
255940,13,21
255960,11,27
25600,163,9
256010,156,17
256030,258,50
256050,997,39
256070,49,59
256190,608,10
25620,278,17
256290,3949,38
256330,650,37
256350,91,17
256370,2388,53
256390,180,12
256410,12101,36
256440,1,22
2570,13,31
25700,1243,1
257030,279,16
257050,905,17
257080,179,12
257120,686,21
257170,3211,7
257220,2,19
257260,10,6
257350,6916,36
257400,1512,37
257510,10566,11
257610,25,39
257630,52,30
257650,1284,29
257670,141,43
257690,105,53
257710,310,17
257730,10159,42
257750,3365,59
257770,109,41
257790,217,6
257830,534,32
257850,3141,55
257870,68,31
257890,683,9
257930,12,10
257970,684,34
257990,276,55
25800,12945,0
258010,873,59
258030,6,29
